tau,precision,recall,abstain_rate
0.1,0.47058823529411764,0.47058823529411764,0.0
0.11734693877551021,0.47058823529411764,0.47058823529411764,0.0
0.1346938775510204,0.47058823529411764,0.47058823529411764,0.0
0.1520408163265306,0.47058823529411764,0.47058823529411764,0.0
0.16938775510204082,0.47058823529411764,0.47058823529411764,0.0
0.18673469387755104,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.20408163265306123,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.22142857142857142,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.23877551020408164,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.2561224489795918,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.27346938775510204,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.2908163265306123,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.3081632653061225,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.32551020408163267,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.34285714285714286,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.36020408163265305,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.37755102040816324,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.39489795918367343,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.4122448979591836,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.4295918367346939,0.6086956521739131,0.4117647058823529,0.32352941176470584
0.4469387755102041,0.8095238095238095,0.25,0.6911764705882353
0.4642857142857143,0.8095238095238095,0.25,0.6911764705882353
0.4816326530612245,0.8095238095238095,0.25,0.6911764705882353
0.4989795918367347,0.8095238095238095,0.25,0.6911764705882353
0.5163265306122449,0.8095238095238095,0.25,0.6911764705882353
0.5336734693877551,0.8095238095238095,0.25,0.6911764705882353
0.5510204081632653,0.8095238095238095,0.25,0.6911764705882353
0.5683673469387756,0.8095238095238095,0.25,0.6911764705882353
0.5857142857142857,0.8095238095238095,0.25,0.6911764705882353
0.6030612244897959,0.8095238095238095,0.25,0.6911764705882353
0.6204081632653061,0.8095238095238095,0.25,0.6911764705882353
0.6377551020408163,0.8095238095238095,0.25,0.6911764705882353
0.6551020408163265,0.8095238095238095,0.25,0.6911764705882353
0.6724489795918367,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.6897959183673469,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7071428571428571,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7244897959183673,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7418367346938776,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7591836734693878,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7765306122448979,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.7938775510204081,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.8112244897959183,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.8285714285714285,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.8459183673469387,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.863265306122449,0.8666666666666667,0.19117647058823528,0.7794117647058824
0.8806122448979592,0.0,0.0,1.0
0.8979591836734694,0.0,0.0,1.0
0.9153061224489796,0.0,0.0,1.0
0.9326530612244898,0.0,0.0,1.0
0.95,0.0,0.0,1.0
